epsilon,margin,binding_s1,binding_tree
0.213000000,0.106065673594,0,"(a0,a0,a1)"
0.214000000,0.105781396652,0,"(a0,a0,a1)"
0.215000000,0.105496338960,0,"(a0,a0,a1)"
0.216000000,0.105210500867,0,"(a0,a0,a1)"
0.217000000,0.104923882721,0,"(a0,a0,a1)"
0.218000000,0.104636484867,0,"(a0,a0,a1)"
0.219000000,0.104348307649,0,"(a0,a0,a1)"
0.220000000,0.104059351407,0,"(a0,a0,a1)"
0.221000000,0.103769616482,0,"(a0,a0,a1)"
0.222000000,0.103479103210,0,"(a0,a0,a1)"
0.223000000,0.103187811927,0,"(a0,a0,a1)"
0.224000000,0.102895742965,0,"(a0,a0,a1)"
0.225000000,0.102602896656,0,"(a0,a0,a1)"
0.226000000,0.102309273329,0,"(a0,a0,a1)"
0.227000000,0.102014873311,0,"(a0,a0,a1)"
0.228000000,0.101719696928,0,"(a0,a0,a1)"
0.229000000,0.101423744501,0,"(a0,a0,a1)"
0.230000000,0.101127016353,0,"(a0,a0,a1)"
0.231000000,0.100829512803,0,"(a0,a0,a1)"
0.232000000,0.100531234167,0,"(a0,a0,a1)"
0.233000000,0.100232180761,0,"(a0,a0,a1)"
0.234000000,0.099932352899,0,"(a0,a0,a1)"
0.235000000,0.099631750890,0,"(a0,a0,a1)"
0.236000000,0.099330375044,0,"(a0,a0,a1)"
0.237000000,0.099028225670,0,"(a0,a0,a1)"
0.238000000,0.098725303071,0,"(a0,a0,a1)"
0.239000000,0.098421607551,0,"(a0,a0,a1)"
0.240000000,0.098117139412,0,"(a0,a0,a1)"
0.241000000,0.097811898953,0,"(a0,a0,a1)"
0.242000000,0.097505886470,0,"(a0,a0,a1)"
0.243000000,0.097199102261,0,"(a0,a0,a1)"
0.244000000,0.096891546618,0,"(a0,a0,a1)"
0.245000000,0.096583219833,0,"(a0,a0,a1)"
0.246000000,0.096274122196,0,"(a0,a0,a1)"
0.247000000,0.095964253993,0,"(a0,a0,a1)"
0.248000000,0.095653615512,0,"(a0,a0,a1)"
0.249000000,0.095342207036,0,"(a0,a0,a1)"
0.250000000,0.095030028846,0,"(a0,a0,a1)"
0.251000000,0.094717081223,0,"(a0,a0,a1)"
0.252000000,0.094403364446,0,"(a0,a0,a1)"
0.253000000,0.094088878789,0,"(a0,a0,a1)"
0.254000000,0.093773624527,0,"(a0,a0,a1)"
0.255000000,0.093457601934,0,"(a0,a0,a1)"
0.256000000,0.093140811278,0,"(a0,a0,a1)"
0.257000000,0.092823252829,0,"(a0,a0,a1)"
0.258000000,0.092504926854,0,"(a0,a0,a1)"
